"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11","uid:12","uid:13","uid:14"
1,1,1,-8749.084187819362,0,9313.339468675686,0,0,0,0,-564.2552808563233,0,0,0,0,0,0
1,1,2,-435.32132133813394,0,435.321321338133,0,0,0,0,0,0,0,0,0,0,0
1,1,3,-435.32132133813474,0,435.3213213381346,0,0,0,0,0,0,0,0,0,0,0
1,1,4,-435.32132133813394,0,435.321321338133,0,0,0,0,0,0,0,0,0,0,0
1,1,5,-435.3213213381354,0,435.3213213381354,0,0,0,0,0,0,0,0,0,0,0
1,1,6,-8749.084187819362,0,9313.339468675686,0,0,0,0,-564.2552808563233,0,0,0,0,0,0
1,1,7,-10276.685168527933,0,8842.539942538942,0,0,0,0,-1567.0688923274338,0,0,0,0,0,3001.214118316428
1,1,8,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582102,4184.914931977327,576.5021561009718,0,0,0,501.62640791842693
1,1,9,-3714.062004976882,0,0,0,0,0,0,-2935.396532232483,5161.27976053132,795.7662027060107,0,0,0,692.4125739720375
1,1,10,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,11,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,12,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,13,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,14,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,15,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,16,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,17,-4420.96152185061,0,0,0,0,0,0,-2809.081742244718,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,18,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582102,4184.914931977327,576.5021561009718,0,0,0,501.62640791842693
1,1,19,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582102,4184.914931977327,576.5021561009718,0,0,0,501.62640791842693
1,1,20,-8121.23841177349,0,5336.032394574715,0,0,0,0,0,1785.830658764154,534.3908584926185,0,0,0,464.9844999420026
1,1,21,-11080.148313746447,0,2682.0117743317965,7792.571639462304,0,0,0,0,0,124.62229802349671,0,0,480.94260192884946,0
1,1,22,-11083.899285334333,0,2681.5703086132435,7780.031897344173,0,0,0,0,0,112.5394793114558,0,172.00093908134932,337.75666098411057,0
1,1,23,-8121.23841177349,0,5336.032394574715,0,0,0,0,0,1785.830658764154,534.3908584926185,0,0,0,464.9844999420026
1,1,24,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582102,4184.914931977327,576.5021561009718,0,0,0,501.62640791842693
