"scenario","stage","block","uid","value"
1,1,1,1,55
1,1,1,2,3
1,1,1,3,41
1,1,1,4,13
1,1,1,5,75
1,1,1,6,150
1,1,1,7,121
1,1,1,8,5
1,1,1,9,377
1,1,1,10,18
1,1,1,11,10.5
1,1,1,12,22
1,1,1,13,43
1,1,1,14,42
1,1,1,15,27.2
1,1,1,16,3.3
1,1,1,17,2.3
1,1,1,18,6.3
1,1,1,19,6.3
1,1,1,20,9.3
1,1,1,21,4.6
1,1,1,22,17
1,1,1,23,3.6
1,1,1,24,5.8
1,1,1,25,1.6
1,1,1,26,3.8
1,1,1,27,6
1,1,1,28,14
1,1,1,29,6.3
1,1,1,30,7.1
1,1,1,31,2
1,1,1,32,12
1,1,1,33,29.7
1,1,1,34,18
1,1,1,35,21
1,1,1,36,18
1,1,1,37,4.9
1,1,1,38,20
1,1,1,39,4.1
1,1,1,40,6.8
1,1,1,41,7.6
1,1,1,42,6.7
