"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,1000,448.53631532784345,1000
1,1,2,1000,448.53631532784345,1000
1,1,3,1000,448.53631532784345,1000
1,1,4,1000,448.53631532784345,1000
1,1,5,1000,448.53631532784345,1000
1,1,6,1000,448.53631532784345,1000
1,1,7,1000,448.53631532784345,1000
1,1,8,1000,448.53631532784345,1000
1,1,9,1000,448.53631532784345,1000
1,1,10,1000,264.9885197849425,111.97889244683687
1,1,11,1000,264.9885197849425,111.97889244683687
1,1,12,1000,264.9885197849425,111.97889244683687
1,1,13,1000,264.9885197849425,111.97889244683687
1,1,14,1000,264.9885197849425,111.97889244683687
1,1,15,1000,264.9885197849425,111.97889244683687
1,1,16,1000,264.9885197849425,111.97889244683687
1,1,17,1000,314.5738323645455,351.8771928599137
1,1,18,1000,448.53631532784345,1000
1,1,19,1000,448.53631532784345,1000
1,1,20,1000,1000,1000
1,1,21,1000,1000,1000
1,1,22,1000,1000,1000
1,1,23,1000,448.53631532784345,1000
1,1,24,1000,448.53631532784345,1000
