"scenario","stage","block","uid","value"
1,1,1,1,-965
1,1,2,1,-965
1,1,3,1,-965
1,1,4,1,-965
1,1,5,1,-965
1,1,6,1,-965
1,1,7,1,-965
1,1,8,1,-965
1,1,9,1,-965
1,1,10,1,-965
1,1,11,1,-965
1,1,12,1,-965
1,1,13,1,-965
1,1,14,1,-965
1,1,15,1,-965
1,1,16,1,-965
1,1,17,1,-965
1,1,18,1,-965
1,1,19,1,-0
1,1,20,1,-0
1,1,21,1,-0
1,1,22,1,-0
1,1,1,2,-965
1,1,2,2,-965
1,1,3,2,-965
1,1,4,2,-965
1,1,5,2,-965
1,1,6,2,-965
1,1,7,2,-965
1,1,8,2,-965
1,1,9,2,-965
1,1,10,2,-965
1,1,11,2,-965
1,1,12,2,-965
1,1,13,2,-965
1,1,14,2,-965
1,1,15,2,-965
1,1,16,2,-965
1,1,17,2,-965
1,1,18,2,-965
1,1,1,3,-965
1,1,2,3,-965
1,1,3,3,-965
1,1,4,3,-965
1,1,5,3,-965
1,1,6,3,-965
1,1,7,3,-965
1,1,8,3,-965
1,1,9,3,-965
1,1,10,3,-965
1,1,11,3,-965
1,1,12,3,-965
1,1,13,3,-965
1,1,14,3,-965
1,1,15,3,-965
1,1,16,3,-965
1,1,17,3,-965
1,1,18,3,-965
1,1,19,3,-0
1,1,20,3,-0
1,1,21,3,-0
1,1,22,3,-0
