"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,35,1000,240.82116909943204,128.91541235027464,141.47342553808662,155.7404337318255,153.20491689086614,147.4416421021909,142.60080529243538,143.48169605237138,150.3806059605273
1,1,2,35,80.85087251879693,46.00929657568562,40.3799839015181,42.294260803643155,44.46904783716922,44.08254710245841,43.204024071500896,42.46611259193141,42.60039090569183,43.65202412899836
1,1,3,35,80.85087251879693,46.00929657568562,40.3799839015181,42.294260803643155,44.46904783716922,44.08254710245841,43.204024071500896,42.46611259193141,42.60039090569183,43.65202412899836
1,1,4,35,80.85087251879693,46.00929657568562,40.3799839015181,42.294260803643155,44.46904783716922,44.08254710245841,43.204024071500896,42.46611259193141,42.60039090569183,43.65202412899836
1,1,5,35,80.85087251879693,46.00929657568562,40.3799839015181,42.294260803643155,44.46904783716922,44.08254710245841,43.204024071500896,42.46611259193141,42.60039090569183,43.65202412899836
1,1,6,35,1000,240.82116909943204,128.91541235027464,141.47342553808662,155.7404337318255,153.20491689086614,147.4416421021909,142.60080529243538,143.48169605237138,150.3806059605273
1,1,7,35,1000,321.3420120545993,209.67665443422746,493.5683073892575,493.27312874788043,493.3255875679876,493.4448273973129,557.6672489321393,607.7516726669081,1000
1,1,8,347.7617589472775,1000,586.2356114557114,502.89499132503414,774.604952029203,1000,1000,889.2712308776863,803.1331508262716,825.4239775162291,1000
1,1,9,161.81166435788097,259.2620928125061,343.4513476419981,313.828472429629,688.8792877280307,1000,1000,847.1571854462564,728.2577639167811,759.0265760062516,1000
1,1,10,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,11,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,12,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,13,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,14,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,15,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,16,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,17,35,151.6842449664394,252.4899550063956,214.79717232964595,643.9769748421816,1000,1000,825.0982365857683,689.0387263290725,724.2482290349865,1000
1,1,18,347.7617589472775,1000,586.2356114557114,502.89499132503414,774.604952029203,1000,1000,889.2712308776863,803.1331508262716,825.4239775162291,1000
1,1,19,347.7617589472775,1000,586.2356114557114,502.89499132503414,774.604952029203,1000,1000,889.2712308776863,803.1331508262716,825.4239775162291,1000
1,1,20,362.79400594980694,1000,637.8726017229043,539.2066282224473,791.0692060551407,1000,1000,897.3595478093227,817.5135280495643,838.1760943301842,1000
1,1,21,469.04212903553446,1000,1000,798.6619540557635,951.2764201417535,1000,1000,976.063795218627,978.6283018234626,1000,1000
1,1,22,469.12952600383636,1000,1000,799.1691298290305,956.0004397736002,1000,1000,978.3845422086487,1000,1000,1000
1,1,23,362.79400594980694,1000,637.8726017229043,539.2066282224473,791.0692060551407,1000,1000,897.3595478093227,817.5135280495643,838.1760943301842,1000
1,1,24,347.7617589472775,1000,586.2356114557114,502.89499132503414,774.604952029203,1000,1000,889.2712308776863,803.1331508262716,825.4239775162291,1000
