"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,965,0,759.178830900568,871.0845876497253,858.5265744619134,844.2595662681745,846.7950831091338,852.5583578978091,857.3991947075647,856.5183039476286,849.6193940394727
1,1,2,965,919.1491274812026,953.9907034243143,959.6200160984819,957.705739196357,955.5309521628308,955.9174528975416,956.795975928499,957.5338874080686,957.3996090943082,956.3479758710016
1,1,3,965,919.1491274812026,953.9907034243143,959.6200160984819,957.705739196357,955.5309521628308,955.9174528975416,956.795975928499,957.5338874080686,957.3996090943082,956.3479758710016
1,1,4,965,919.1491274812026,953.9907034243143,959.6200160984819,957.705739196357,955.5309521628308,955.9174528975416,956.795975928499,957.5338874080686,957.3996090943082,956.3479758710016
1,1,5,965,919.1491274812026,953.9907034243143,959.6200160984819,957.705739196357,955.5309521628308,955.9174528975416,956.795975928499,957.5338874080686,957.3996090943082,956.3479758710016
1,1,6,965,0,759.178830900568,871.0845876497253,858.5265744619134,844.2595662681745,846.7950831091338,852.5583578978091,857.3991947075647,856.5183039476286,849.6193940394727
1,1,7,965,0,678.6579879454002,790.3233455657721,506.4316926107423,506.72687125211945,506.6744124320123,506.5551726026869,442.3327510678605,392.24832733309177,0
1,1,8,652.2382410527224,0,413.76438854428875,497.10500867496563,225.39504797079678,0,0,110.72876912231355,196.86684917372833,174.57602248377069,0
1,1,9,838.188335642119,740.737907187494,656.548652358002,686.171527570371,311.120712271969,0,0,152.8428145537435,271.7422360832187,240.9734239937482,0
1,1,10,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,11,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,12,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,13,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,14,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,15,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,16,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,17,965,848.3157550335605,747.5100449936044,785.2028276703539,356.0230251578184,0,0,174.90176341423168,310.9612736709271,275.7517709650137,0
1,1,18,652.2382410527224,0,413.76438854428875,497.10500867496563,225.39504797079678,0,0,110.72876912231355,196.86684917372833,174.57602248377069,0
1,1,19,652.2382410527224,0,413.76438854428875,497.10500867496563,225.39504797079678,0,0,110.72876912231355,196.86684917372833,174.57602248377069,0
1,1,20,637.2059940501931,0,362.1273982770957,460.79337177755275,208.93079394485915,0,0,102.6404521906773,182.48647195043554,161.82390566981564,0
1,1,21,530.9578709644655,0,0,201.33804594423643,48.72357985824649,0,0,23.93620478137293,21.37169817653728,0,0
1,1,22,530.8704739961637,0,0,200.83087017096958,43.999560226399836,0,0,21.61545779135132,0,0,0
1,1,23,637.2059940501931,0,362.1273982770957,460.79337177755275,208.93079394485915,0,0,102.6404521906773,182.48647195043554,161.82390566981564,0
1,1,24,652.2382410527224,0,413.76438854428875,497.10500867496563,225.39504797079678,0,0,110.72876912231355,196.86684917372833,174.57602248377069,0
