"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9"
1,1,1,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-2.102135879799691,-3.8442398078746485,-6.283185307179586
1,1,2,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-1.9521263282697,-3.75673423614882,-6.283185307179586
1,1,3,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-1.8771215525047047,-3.712981450285906,-6.283185307179586
1,1,4,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-1.8771215525047047,-3.712981450285906,-6.283185307179586
1,1,5,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-1.9521263282697,-3.75673423614882,-6.283185307179586
1,1,6,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-2.252145431329682,-3.9317453796004758,-6.283185307179586
1,1,7,0,6.283185307179586,-5.492085307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-3.002193188979636,-4.369273238229615,-6.283185307179586
1,1,8,0,6.283185307179586,-3.9098853071795863,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-4.05226004968957,-4.98181224031041,-6.283185307179586
1,1,9,0,6.283185307179586,-0.7454853071795859,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-4.802307807339525,-5.419340098939551,-6.283185307179586
1,1,10,0,6.283185307179586,6.283185307179586,-2.513402401817422,-6.283185307179585,-2.4476289561713993,-4.434432564966871,-3.5559569410130325,-2.326091067477661
1,1,11,0,6.283185307179586,6.283185307179586,-2.5374825185313843,-6.283185307179585,-2.5362335555638356,-4.7024048651435075,-3.798871875171527,-2.533925689210756
1,1,12,0,6.283185307179586,6.283185307179586,-2.559553452038425,-6.283185307179585,-2.6174452143293667,-4.891788086424794,-3.9887176849604846,-2.724419122910454
1,1,13,0,6.283185307179586,6.283185307179586,-2.5800780886742687,-6.283185307179585,-2.6929671575324,-5.003407999669463,-4.127640718099139,-2.9015665239006854
1,1,14,0,6.283185307179586,6.283185307179586,-2.5575442688315047,-6.283185307179585,-2.6100522737024647,-4.813199007529443,-3.9356485605909515,-2.7070779348770637
1,1,15,0,6.283185307179586,6.283185307179586,-2.5334641521175425,-6.283185307179585,-2.5214476743100285,-4.545226707352808,-3.692733626432457,-2.499243313143969
1,1,16,0,6.283185307179586,6.283185307179586,-2.5093840354035812,-6.283185307179585,-2.432843074917594,-4.27725440717617,-3.449818692273965,-2.2914086914108776
1,1,17,0,6.283185307179586,3.817309749443518,-2.7181998233302984,-6.283185307179585,-3.2011964618982716,-4.499763936910241,-4.330566567596174,-4.093690250556482
1,1,18,0,6.283185307179586,-1.5365853071795859,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-5.102326910399507,-5.594351242391206,-6.283185307179586
1,1,19,0,6.283185307179586,-4.700985307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-5.8523746680494595,-6.031879101020346,-6.283185307179586
1,1,20,0,6.283185307179586,-5.966745307179585,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-6.283185307179586,-6.283185307179587,-6.283185307179586
1,1,21,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-6.283185307179586,-6.283185307179587,-6.283185307179586
1,1,22,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-6.283185307179586,-6.283185307179587,-6.283185307179586
1,1,23,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-5.8523746680494595,-6.031879101020346,-6.283185307179586
1,1,24,0,6.283185307179586,-6.283185307179586,-2.9718789075390655,-6.283185307179585,-4.134627719626576,-5.327341237694494,-5.725609599979948,-6.283185307179586
