"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11","uid:12","uid:13","uid:14"
1,1,1,-8749.08418781936,0,9313.339468675686,0,0,0,0,-564.2552808563233,0,0,0,0,0,0
1,1,2,-435.3213213381363,0,435.3213213381376,0,0,0,0,0,0,0,0,0,0,0
1,1,3,-435.3213213381363,0,435.3213213381376,0,0,0,0,0,0,0,0,0,0,0
1,1,4,-435.3213213381363,0,435.3213213381376,0,0,0,0,0,0,0,0,0,0,0
1,1,5,-435.3213213381363,0,435.3213213381376,0,0,0,0,0,0,0,0,0,0,0
1,1,6,-8749.08418781936,0,9313.339468675686,0,0,0,0,-564.2552808563233,0,0,0,0,0,0
1,1,7,-10276.685168527933,0,8842.53994253894,0,0,0,0,-1567.0688923274347,0,0,0,0,0,3001.214118316428
1,1,8,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582116,4184.914931977327,576.5021561009715,0,0,0,501.62640791842625
1,1,9,-3714.062004976884,0,0,0,0,0,0,-2935.396532232484,5161.279760531321,795.7662027060106,0,0,0,692.412573972037
1,1,10,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,11,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,12,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,13,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,14,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,15,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,16,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,17,-4420.961521850611,0,0,0,0,0,0,-2809.0817422447194,5527.08396518042,910.6146895102396,0,0,0,792.3446094046712
1,1,18,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582116,4184.914931977327,576.5021561009715,0,0,0,501.62640791842625
1,1,19,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582116,4184.914931977327,576.5021561009715,0,0,0,501.62640791842625
1,1,20,-8121.23841177349,0,5336.032394574715,0,0,0,0,0,1785.8306587641546,534.3908584926186,0,0,0,464.9844999420022
1,1,21,-11080.148313746447,0,2682.0117743317956,7792.571639462302,0,0,0,0,0,124.62229802349651,0,0,480.94260192884866,0
1,1,22,-11083.899285334332,0,2681.5703086132426,7780.0318973441745,0,0,0,0,0,112.53947931145558,0,172.00093908134897,337.7566609841084,0
1,1,23,-8121.23841177349,0,5336.032394574715,0,0,0,0,0,1785.8306587641546,534.3908584926186,0,0,0,464.9844999420022
1,1,24,-7704.383327953162,0,5713.882074114649,0,0,0,0,-3272.5422421582116,4184.914931977327,576.5021561009715,0,0,0,501.62640791842625
