#Numero, Nombre, Tipo, Barra, N/A, VolMin, VolMax, VolMinNECF, VolMaxNECF, FEscala, FactRendim
  1,LMAULE                  ,A,  0,  0,      0.00,1424293.60,      0.00,1424293.60,  9,    6.080,
  2,CIPRESES                ,E,124,  0,   4716.36, 174660.33,   4716.36, 174660.33,  8,    8.840,
  3,PEHUENCHE               ,E,169,  0, 106583.07, 133644.05, 106583.07, 133644.05,  8,    3.810,
  4,COLBUN                  ,E,129,  0, 381624.30,1553245.90, 956442.60,1553245.90,  9,    2.030,
  5,ELTORO                  ,E,102,  0, 405013.00,5585888.00, 405013.00,5585888.00, 10,    8.910,
  6,RAPEL                   ,E,186,  0, 272304.90, 563212.40, 354392.70, 563212.40,  9,    0.640,
  7,CANUTILLAR              ,E,110,  0,  22487.00,1065378.50,  22487.00,1065378.50,  9,    2.000,
  8,RALCO                   ,E,184,  0, 409409.60,1173286.20, 409409.60,1173286.20,  9,    2.450,
  9,PANGUE                  ,E,166,  0,  30806.60,  71960.00,  30806.60,  71960.00,  8,    0.900,
  10,PILMAIQUEN             ,E,183,  0,      0.00, 281403.72,      0.00, 281403.72,  8,    0.585,
